Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"HIMALAYA SHIPPING";BMG4660A1036;HSHP;"Oslo Børs";NOK;61.10;62.70;61.10;61.60;"04/07/2025 16:25";CET;51548;3186143.40;61.60;04/07/2025
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;1.885;1.885;1.71;1.845;"04/07/2025 16:25";CET;34650;60805.60;1.845;04/07/2025
"HORISONT ENERGI";NO0010917339;HRGI;"Euronext Growth Oslo";NOK;1.30;1.30;1.195;1.245;"04/07/2025 13:07";CET;1440;1732.53;1.245;04/07/2025
"HUDDLESTOCK FINTEC";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;0.75;0.75;0.72;0.744;"04/07/2025 16:25";CET;507935;369369.65;0.744;04/07/2025
HUDDLY;NO0013470534;HDLY;"Euronext Growth Oslo";NOK;12.55;12.55;12.50;12.50;"04/07/2025 11:54";CET;3561;44535.25;12.50;04/07/2025
"HUNTER GROUP";NO0012953720;HUNT;"Euronext Expand Oslo";NOK;0.90;0.91;0.89;0.902;"04/07/2025 16:09";CET;313995;283075.792;0.902;04/07/2025
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;3.88;3.915;3.61;3.70;"04/07/2025 16:25";CET;171624;630024.58;3.70;04/07/2025
HYNION;NO0010920945;HYN;"Euronext Growth Oslo";NOK;0.304;0.304;0.24;0.269;"04/07/2025 16:26";CET;1242142;345042.862;0.269;04/07/2025
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;90.30;90.70;88.70;89.55;"04/07/2025 16:28";CET;409733;36772889.65;89.55;04/07/2025
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;162.00;169.98;162.00;168.98;"03/07/2025 16:18";CET;31;5241.40;168.98;04/07/2025
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;92.40;99.80;92.40;99.80;"03/07/2025 10:46";CET;150;14600.00;99.80;04/07/2025
"IDEX BIOMETRICS";NO0013536078;IDEX;"Oslo Børs";NOK;3.48;3.48;3.00;3.35;"04/07/2025 16:25";CET;148487;475467.523;3.35;04/07/2025
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;3.88;4.06;3.76;3.84;"04/07/2025 16:25";CET;46331;177189.20;3.84;04/07/2025
"INIFY LABORATORIES";SE0017486103;INIFY;"Euronext Growth Oslo";NOK;6.00;6.00;5.45;5.70;"04/07/2025 16:14";CET;19530;107764.40;5.70;04/07/2025
"ININ GROUP";NO0010864036;ININ;"Euronext Growth Oslo";NOK;2.28;2.28;2.28;2.28;"04/07/2025 11:44";CET;7433;16947.24;2.28;04/07/2025
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;2.65;2.65;2.60;2.65;"04/07/2025 16:25";CET;252331;661971.86;2.65;04/07/2025
"INTEGRATED WIND SO";NO0013461350;IWS;"Oslo Børs";NOK;42.995;43.00;42.995;43.00;"04/07/2025 16:25";CET;260;11179.95;43.00;04/07/2025
"INTEROIL EXPL PROD";NO0013119255;IOX;"Oslo Børs";NOK;1.60;1.616;1.548;1.548;"04/07/2025 14:46";CET;17397;27464.256;1.548;04/07/2025
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;9.30;9.30;9.30;9.30;"04/07/2025 14:30";CET;266;2473.80;9.30;04/07/2025
